gene_name,go_domain,go_annotation
YAL008W,Biological process,ion
YBR255W,Biological process,biological_process
YGR131W,Biological process,protein
YGR131W,Biological process,ion
YNL003C,Biological process,transport
YNL003C,Biological process,ion
YBR135W,Biological process,regulation
YBR135W,Biological process,ion
YBR135W,Biological process,positive
YBR160W,Biological process,negative
YBR160W,Biological process,regulation
YBR160W,Biological process,ion
YBR160W,Biological process,repair
YBR160W,Biological process,positive
YBR160W,Biological process,catabolic process
YBR160W,Biological process,transport
YBR160W,Biological process,protein
YJL082W,Biological process,protein
YPL191C,Biological process,biological_process
YGL215W,Biological process,positive
YGL215W,Biological process,regulation
YGL215W,Biological process,ion
YKL074C,Biological process,ion
YJL077C,Biological process,copper
YJL077C,Biological process,ion
YIL124W,Biological process,catabolic process
YGL141W,Biological process,protein
YGL141W,Biological process,ion
YGL141W,Biological process,catabolic process
YJL179W,Biological process,protein
YJL179W,Biological process,ion
YJL179W,Biological process,positive
YJL179W,Biological process,regulation
YOR009W,Biological process,biological_process
YKL029C,Biological process,metabolic process
YKL052C,Biological process,positive
YKL052C,Biological process,regulation
YKL052C,Biological process,ion
YHR025W,Biological process,metabolic process
YHR025W,Biological process,ion
YOL034W,Biological process,repair
YOL034W,Biological process,ion
YBL008W,Biological process,negative
YBL008W,Biological process,regulation
YBL008W,Biological process,ion
YIL062C,Biological process,ion
YOL116W,Biological process,positive
YOL116W,Biological process,regulation
YOL116W,Biological process,catabolic process
YOL116W,Biological process,ion
YNL255C,Biological process,positive
YNL255C,Biological process,regulation
YNL255C,Biological process,ion
YNR032W,Biological process,metabolic process
YNR032W,Biological process,protein
YNR032W,Biological process,ion
YNR045W,Biological process,positive
YNR045W,Biological process,regulation
YNR045W,Biological process,ion
YML105C,Biological process,protein
YML105C,Biological process,ion
YML105C,Biological process,targeting
YNL288W,Biological process,regulation
YNL288W,Biological process,ion
YNL288W,Biological process,positive
YIL004C,Biological process,transport
YIL004C,Biological process,ion
YPL144W,Biological process,protein
YGR099W,Biological process,protein
YGR099W,Biological process,ion
YLR300W,Biological process,metabolic process
YLR300W,Biological process,ion
YBL003C,Biological process,repair
YJR140C,Biological process,ion
YJR140C,Biological process,positive
YJR140C,Biological process,regulation
YJR140C,Biological process,histone
YJR140C,Biological process,negative
YOR033C,Biological process,repair
YOR033C,Biological process,ion
YBR043C,Biological process,transport
YHR112C,Biological process,metabolic process
YLR011W,Biological process,ion
YKR084C,Biological process,positive
YKR084C,Biological process,regulation
YKR084C,Biological process,ion
YKR084C,Biological process,catabolic process
YCR046C,Biological process,ion
YKL204W,Biological process,ion
YKL204W,Biological process,catabolic process
YKL204W,Biological process,negative
YKL204W,Biological process,regulation
YOR266W,Biological process,protein
YOR266W,Biological process,ion
YDR393W,Biological process,ion
YDR393W,Biological process,membrane organization
YGL171W,Biological process,ion
YPR194C,Biological process,transport
YPR194C,Biological process,ion
YPR194C,Biological process,regulation
YPR194C,Biological process,positive
YGR019W,Biological process,catabolic process
YNL208W,Biological process,biological_process
YLL057C,Biological process,catabolic process
YNL277W,Biological process,metabolic process
YNL277W,Biological process,ion
YMR040W,Biological process,biological_process
YDR077W,Biological process,ion
YMR266W,Biological process,transport
YKR064W,Biological process,negative
YKR064W,Biological process,regulation
YKR064W,Biological process,ion
YPL089C,Biological process,ion
YPL089C,Biological process,positive
YPL089C,Biological process,regulation
YDL139C,Biological process,ion
YDL139C,Biological process,protein
YDL139C,Biological process,negative
YDL139C,Biological process,regulation
YDL139C,Biological process,catabolic process
YOR288C,Biological process,protein
YCR028C,Biological process,transport
YLR179C,Biological process,biological_process
YOR141C,Biological process,repair
YOR141C,Biological process,ion
YBL106C,Biological process,transport
YGL044C,Biological process,ion
YER107C,Biological process,ion
YER107C,Biological process,regulation
YBR038W,Biological process,ion
YPR016C,Biological process,ion
YDL055C,Biological process,protein
YDL055C,Biological process,ion
YML009C,Biological process,ion
YML072C,Biological process,regulation
YML072C,Biological process,ion
YML072C,Biological process,membrane organization
YDR142C,Biological process,protein
YFL044C,Biological process,regulation
YFL044C,Biological process,ion
YFL044C,Biological process,protein
YKL019W,Biological process,ion
YKL019W,Biological process,protein
YJL130C,Biological process,metabolic process
YJL130C,Biological process,negative
YJL130C,Biological process,regulation
YJL130C,Biological process,ion
YBL085W,Biological process,ion
YDR166C,Biological process,transport
YDR082W,Biological process,negative
YDR082W,Biological process,regulation
YDR082W,Biological process,ion
YDR333C,Biological process,protein
YDR333C,Biological process,catabolic process
YLR363C,Biological process,catabolic process
YDR179C,Biological process,ion
YLR431C,Biological process,positive
YLR431C,Biological process,regulation
YLR431C,Biological process,ion
YLR431C,Biological process,protein
YKR046C,Biological process,ion
YJL116C,Biological process,ion
YHR041C,Biological process,negative
YHR041C,Biological process,regulation
YHR041C,Biological process,protein
YHR041C,Biological process,ion
YHR041C,Biological process,positive
YJR072C,Biological process,transport
YJR072C,Biological process,ion
YKR039W,Biological process,transport
YPL009C,Biological process,protein
YPL009C,Biological process,catabolic process
YDR268W,Biological process,ion
YGL192W,Biological process,ion
YGL192W,Biological process,negative
YGL192W,Biological process,regulation
YMR293C,Biological process,ion
YJL214W,Biological process,transport
YIL105C,Biological process,regulation
YIL105C,Biological process,ion
YIL105C,Biological process,transport
YIL105C,Biological process,protein
YLR189C,Biological process,metabolic process
YIL150C,Biological process,repair
YIL150C,Biological process,ion
YGL250W,Biological process,ion
YBR212W,Biological process,ion
YLR254C,Biological process,ion
YGR085C,Biological process,ion
YPL105C,Biological process,ion
YGR145W,Biological process,ion
YGR110W,Biological process,metabolic process
YGL154C,Biological process,protein
YDL215C,Biological process,metabolic process
YDR315C,Biological process,catabolic process
YLR394W,Biological process,ion
YLR394W,Biological process,protein
YNL151C,Biological process,ion
YLR220W,Biological process,transport
YLR220W,Biological process,ion
YIL045W,Biological process,regulation
YIL045W,Biological process,ion
YMR232W,Biological process,ion
YMR232W,Biological process,regulation
YNL083W,Biological process,transport
YER168C,Biological process,ion
YPL265W,Biological process,transport
YOR227W,Biological process,ion
YOR081C,Biological process,ion
YEL026W,Biological process,ion
YDR021W,Biological process,ion
YOL157C,Biological process,catabolic process
YPR095C,Biological process,protein
YPR095C,Biological process,targeting
YPR095C,Biological process,transport
YPR095C,Biological process,positive
YPR095C,Biological process,regulation
YPR095C,Biological process,ion
YDR188W,Biological process,protein
YAL027W,Biological process,repair
YAL027W,Biological process,positive
YAL027W,Biological process,regulation
YAL027W,Biological process,ion
YGL236C,Biological process,ion
YDR017C,Biological process,regulation
YDR017C,Biological process,ion
YIL090W,Biological process,ion
YIL090W,Biological process,protein
YIL090W,Biological process,targeting
YBR183W,Biological process,catabolic process
YEL004W,Biological process,transport
YLL032C,Biological process,biological_process
YDR116C,Biological process,ion
YDR299W,Biological process,ion
YDR122W,Biological process,protein
YDR122W,Biological process,ion
YOL062C,Biological process,transport
YOL062C,Biological process,protein
YNL234W,Biological process,biological_process
YLR467W,Biological process,ion
YJL194W,Biological process,ion
YJL194W,Biological process,regulation
YOL015W,Biological process,biological_process
YDL070W,Biological process,negative
YDL070W,Biological process,regulation
YDL070W,Biological process,ion
YOR241W,Biological process,metabolic process
YKL110C,Biological process,ion
YKL110C,Biological process,regulation
YBR280C,Biological process,protein
YBR280C,Biological process,catabolic process
YML097C,Biological process,protein
YML097C,Biological process,targeting
YML097C,Biological process,transport
YML097C,Biological process,ion
YKR007W,Biological process,ion
YKR007W,Biological process,protein
YBL099W,Biological process,transport
YJR035W,Biological process,histone
YJR035W,Biological process,repair
YJR035W,Biological process,ion
YOR126C,Biological process,metabolic process
YMR023C,Biological process,ion
YOR119C,Biological process,ion
YOR119C,Biological process,protein
YOR119C,Biological process,negative
YOR119C,Biological process,regulation
YOR119C,Biological process,positive
YLL014W,Biological process,protein
YPR115W,Biological process,positive
YPR115W,Biological process,regulation
YPR115W,Biological process,transport
YPR115W,Biological process,ion
YHR088W,Biological process,ion
YBR017C,Biological process,protein
YBR017C,Biological process,ion
YPR162C,Biological process,ion
YGR166W,Biological process,protein
YGR166W,Biological process,transport
YDL161W,Biological process,ion
YKL050C,Biological process,biological_process
YJR055W,Biological process,ion
YGL099W,Biological process,ion
YFL030W,Biological process,ion
YIL119C,Biological process,protein
YIL119C,Biological process,ion
YIL119C,Biological process,positive
YIL119C,Biological process,regulation
YNL005C,Biological process,ion
YJL144W,Biological process,ion
YJR139C,Biological process,ion
YBR133C,Biological process,ion
YBR133C,Biological process,protein
YBR133C,Biological process,catabolic process
YBR133C,Biological process,regulation
YBR162C,Biological process,biological_process
YNL331C,Biological process,metabolic process
YJL079C,Biological process,transport
YGL019W,Biological process,regulation
YGL019W,Biological process,ion
YGL019W,Biological process,protein
YNL172W,Biological process,ion
YNL172W,Biological process,protein
YNL172W,Biological process,catabolic process
YPL160W,Biological process,ion
YPL160W,Biological process,regulation
YNL023C,Biological process,biological_process
YDR214W,Biological process,protein
YIL126W,Biological process,repair
YIL126W,Biological process,ion
YLR295C,Biological process,transport
YLR295C,Biological process,ion
YHR168W,Biological process,ion
YOR064C,Biological process,ion
YOR064C,Biological process,histone
YOR064C,Biological process,positive
YOR064C,Biological process,regulation
YOL081W,Biological process,negative
YOL081W,Biological process,regulation
YOL081W,Biological process,ion
YOL081W,Biological process,positive
YOL081W,Biological process,protein
YOL081W,Biological process,transport
YOL081W,Biological process,copper
YBR282W,Biological process,ion
YDR194C,Biological process,ion
YOL114C,Biological process,ion
YNL257C,Biological process,transport
YNL257C,Biological process,positive
YNL257C,Biological process,regulation
YNL257C,Biological process,ion
YNR030W,Biological process,protein
YNR030W,Biological process,ion
YDR466W,Biological process,ion
YIL002C,Biological process,ion
YNL118C,Biological process,ion
YNL118C,Biological process,positive
YNL118C,Biological process,regulation
YJR117W,Biological process,protein
YJR117W,Biological process,ion
YLR357W,Biological process,repair
YLR357W,Biological process,ion
YBL015W,Biological process,metabolic process
YLR017W,Biological process,ion
YHR110W,Biological process,transport
YBR041W,Biological process,metabolic process
YOR394W,Biological process,biological_process
YPL078C,Biological process,transport
YPL078C,Biological process,protein
YPL078C,Biological process,ion
YDL039C,Biological process,ion
YOR264W,Biological process,biological_process
YGR184C,Biological process,protein
YGR184C,Biological process,ion
YGR184C,Biological process,catabolic process
YGR184C,Biological process,regulation
YGR184C,Biological process,transport
YNL275W,Biological process,protein
YNL275W,Biological process,targeting
YNL275W,Biological process,transport
YOR384W,Biological process,biological_process
YLL051C,Biological process,ion
YLL051C,Biological process,copper
YDR395W,Biological process,transport
YLR079W,Biological process,regulation
YLR079W,Biological process,protein
YLR079W,Biological process,ion
YLR079W,Biological process,negative
YMR093W,Biological process,ion
YMR093W,Biological process,positive
YMR093W,Biological process,regulation
YML070W,Biological process,catabolic process
YPR072W,Biological process,ion
YPR072W,Biological process,regulation
YPR072W,Biological process,protein
YPR072W,Biological process,positive
YCR091W,Biological process,ion
YCR091W,Biological process,protein
YER062C,Biological process,metabolic process
YDR244W,Biological process,protein
YGR271W,Biological process,ion
YGR271W,Biological process,regulation
YDR233C,Biological process,ion
YGR071C,Biological process,protein
YGR071C,Biological process,ion
YDR489W,Biological process,repair
YDR489W,Biological process,ion
YPL282C,Biological process,biological_process
YPL235W,Biological process,regulation
YPL235W,Biological process,ion
YPL235W,Biological process,histone
YLR155C,Biological process,catabolic process
YLR155C,Biological process,starvation
YLR155C,Biological process,ion
YBL087C,Biological process,ion
YGL190C,Biological process,negative
YGL190C,Biological process,regulation
YGL190C,Biological process,ion
YGL190C,Biological process,protein
YGL190C,Biological process,positive
YBR110W,Biological process,protein
YBR110W,Biological process,ion
YDR144C,Biological process,ion
YOR103C,Biological process,protein
YOR103C,Biological process,ion
YDR447C,Biological process,ion
YJL063C,Biological process,ion
YIR010W,Biological process,ion
YDR331W,Biological process,protein
YML056C,Biological process,biological_process
YKR044W,Biological process,biological_process
YLR433C,Biological process,ion
YMR068W,Biological process,regulation
YMR068W,Biological process,ion
YER032W,Biological process,ion
YJR070C,Biological process,ion
YGL005C,Biological process,transport
YHR043C,Biological process,metabolic process
YDL111C,Biological process,catabolic process
YDL111C,Biological process,ion
YMR133W,Biological process,ion
YPL007C,Biological process,ion
YDR059C,Biological process,protein
YDR059C,Biological process,ion
YBR101C,Biological process,ion
YBR101C,Biological process,protein
YBR101C,Biological process,catabolic process
YLR396C,Biological process,protein
YLR396C,Biological process,targeting
YLR396C,Biological process,transport
YLR396C,Biological process,ion
YLR396C,Biological process,regulation
YBR245C,Biological process,regulation
YBR245C,Biological process,ion
YBR245C,Biological process,positive
YBR245C,Biological process,negative
YBR245C,Biological process,histone
YJL216C,Biological process,catabolic process
YBR210W,Biological process,transport
YBR210W,Biological process,ion
YPL103C,Biological process,metabolic process
YJR096W,Biological process,catabolic process
YAL010C,Biological process,ion
YAL010C,Biological process,transport
YAL010C,Biological process,protein
YGR143W,Biological process,ion
YHR174W,Biological process,regulation
YHR174W,Biological process,ion
YHR062C,Biological process,catabolic process
YDR317W,Biological process,repair
YNL106C,Biological process,ion
YOR378W,Biological process,transport
YLR321C,Biological process,repair
YLR321C,Biological process,ion
YLR321C,Biological process,regulation
YJR161C,Biological process,protein
YJR161C,Biological process,catabolic process
YJR161C,Biological process,targeting
YNL085W,Biological process,ion
YGL061C,Biological process,positive
YGL061C,Biological process,regulation
YGL061C,Biological process,ion
YPL210C,Biological process,protein
YPL210C,Biological process,ion
YPL210C,Biological process,targeting
YOR087W,Biological process,ion
YOR347C,Biological process,metabolic process
YPR093C,Biological process,protein
YPR093C,Biological process,ion
YAL029C,Biological process,ion
YOL155C,Biological process,ion
YDR421W,Biological process,catabolic process
YDR421W,Biological process,positive
YDR421W,Biological process,regulation
YDR421W,Biological process,ion
YGR186W,Biological process,ion
YGR186W,Biological process,regulation
YGR186W,Biological process,protein
YDR294C,Biological process,metabolic process
YDR294C,Biological process,starvation
YDR294C,Biological process,ion
YHR135C,Biological process,protein
YHR135C,Biological process,ion
YBR181C,Biological process,ion
YOR078W,Biological process,ion
YMR165C,Biological process,ion
YCR005C,Biological process,metabolic process
YGR296W,Biological process,ion
YPR055W,Biological process,transport
YHR037W,Biological process,catabolic process
YLR032W,Biological process,protein
YLR032W,Biological process,ion
YLR032W,Biological process,repair
YBL027W,Biological process,ion
YOL060C,Biological process,ion
YNL232W,Biological process,catabolic process
YNL232W,Biological process,ion
YDL076C,Biological process,negative
YDL076C,Biological process,regulation
YDL076C,Biological process,ion
YDR120C,Biological process,ion
YJL192C,Biological process,transport
YDR063W,Biological process,negative
YDR063W,Biological process,regulation
YDR063W,Biological process,ion
YLR105C,Biological process,ion
YML091C,Biological process,ion
YML091C,Biological process,positive
YML091C,Biological process,regulation
YHR191C,Biological process,ion
YMR143W,Biological process,ion
YNL189W,Biological process,protein
YNL189W,Biological process,targeting
YNL189W,Biological process,ion
YGL122C,Biological process,ion
YGL122C,Biological process,regulation
YGL122C,Biological process,positive
YGL122C,Biological process,negative
YGL122C,Biological process,catabolic process
YDL018C,Biological process,transport
YBL060W,Biological process,protein
YBL060W,Biological process,ion
YBL060W,Biological process,positive
YBL060W,Biological process,regulation
YBR019C,Biological process,catabolic process
YKL056C,Biological process,ion
YGL211W,Biological process,ion
YGL211W,Biological process,protein
YLR377C,Biological process,metabolic process
YCL044C,Biological process,protein
YCL044C,Biological process,catabolic process
YNL007C,Biological process,ion
YNL007C,Biological process,protein
YNL007C,Biological process,transport
YNL007C,Biological process,catabolic process
YPL148C,Biological process,protein
YJR137C,Biological process,ion
YMR021C,Biological process,copper
YMR021C,Biological process,ion
YMR021C,Biological process,positive
YMR021C,Biological process,regulation
YMR021C,Biological process,protein
YMR021C,Biological process,catabolic process
YDR378C,Biological process,ion
YOR104W,Biological process,biological_process
YFL009W,Biological process,ion
YFL009W,Biological process,protein
YFL009W,Biological process,catabolic process
YLR297W,Biological process,biological_process
YDR216W,Biological process,ion
YDR216W,Biological process,negative
YDR216W,Biological process,regulation
YDR216W,Biological process,positive
YDR216W,Biological process,catabolic process
YIL120W,Biological process,transport
YNL021W,Biological process,negative
YNL021W,Biological process,regulation
YNL021W,Biological process,ion
YNL021W,Biological process,histone
YNL021W,Biological process,positive
YGR095C,Biological process,catabolic process
YGR095C,Biological process,ion
YCL027W,Biological process,regulation
YCL027W,Biological process,ion
YCL027W,Biological process,protein
YHR029C,Biological process,protein
YAL033W,Biological process,catabolic process
YNR036C,Biological process,ion
YNR049C,Biological process,ion
YDR192C,Biological process,ion
YDR192C,Biological process,protein
YML109W,Biological process,positive
YML109W,Biological process,regulation
YML109W,Biological process,ion
YML109W,Biological process,protein
YOL083W,Biological process,protein
YOL083W,Biological process,ion
YOL083W,Biological process,targeting
YNL251C,Biological process,ion
YNL251C,Biological process,catabolic process
YBR164C,Biological process,protein
YBR164C,Biological process,targeting
YBR164C,Biological process,transport
YDR464W,Biological process,negative
YDR464W,Biological process,regulation
YDR464W,Biological process,ion
YFR030W,Biological process,ion
YBR131W,Biological process,protein
YBR131W,Biological process,targeting
YBR131W,Biological process,transport
YBR131W,Biological process,positive
YBR131W,Biological process,regulation
YBR131W,Biological process,ion
YKL078W,Biological process,ion
YPL053C,Biological process,protein
YPL053C,Biological process,ion
YLR351C,Biological process,biological_process
YER125W,Biological process,protein
YER125W,Biological process,ion
YER125W,Biological process,regulation
YER125W,Biological process,metabolic process
YER125W,Biological process,positive
YER125W,Biological process,catabolic process
YER125W,Biological process,transport
YER152C,Biological process,biological_process
YLR015W,Biological process,histone
YLR015W,Biological process,ion
YPL259C,Biological process,transport
YDL037C,Biological process,biological_process
YLR442C,Biological process,negative
YLR442C,Biological process,regulation
YLR442C,Biological process,ion
YLR442C,Biological process,catabolic process
YHL043W,Biological process,biological_process
YOR386W,Biological process,repair
YDR397C,Biological process,negative
YDR397C,Biological process,regulation
YDR397C,Biological process,ion
YDR397C,Biological process,positive
YPR198W,Biological process,transport
YDR425W,Biological process,transport
YML076C,Biological process,positive
YML076C,Biological process,regulation
YML076C,Biological process,ion
YMR091C,Biological process,ion
YER012W,Biological process,protein
YER012W,Biological process,catabolic process
YDL135C,Biological process,ion
YDL135C,Biological process,regulation
YCR093W,Biological process,catabolic process
YCR093W,Biological process,ion
YCR093W,Biological process,regulation
YCR093W,Biological process,positive
YBR069C,Biological process,transport
YCR104W,Biological process,biological_process
YDR040C,Biological process,transport
YDR040C,Biological process,ion
YDR040C,Biological process,starvation
YBL102W,Biological process,transport
YPL237W,Biological process,ion
YLR120C,Biological process,ion
YLR120C,Biological process,protein
YLR120C,Biological process,regulation
YEL043W,Biological process,biological_process
YNL068C,Biological process,positive
YNL068C,Biological process,regulation
YNL068C,Biological process,ion
YNL068C,Biological process,negative
YDR146C,Biological process,regulation
YDR146C,Biological process,ion
YDR146C,Biological process,positive
YBR112C,Biological process,negative
YBR112C,Biological process,regulation
YBR112C,Biological process,ion
YBR112C,Biological process,transport
YNL326C,Biological process,protein
YNL326C,Biological process,ion
YDR337W,Biological process,ion
YJL061W,Biological process,protein
YPR147C,Biological process,biological_process
YDR441C,Biological process,biological_process
YPL094C,Biological process,protein
YPL094C,Biological process,ion
YPL094C,Biological process,targeting
YPL023C,Biological process,biological_process
YDR231C,Biological process,ion
YDR231C,Biological process,protein
YJL112W,Biological process,ion
YML058W,Biological process,ion
YML058W,Biological process,regulation
YER034W,Biological process,biological_process
YJR076C,Biological process,positive
YJR076C,Biological process,regulation
YJR076C,Biological process,protein
YJR076C,Biological process,ion
YKL157W,Biological process,catabolic process
YPR129W,Biological process,negative
YPR129W,Biological process,regulation
YPR129W,Biological process,ion
YDL113C,Biological process,transport
YMR135C,Biological process,protein
YMR135C,Biological process,catabolic process
YMR135C,Biological process,negative
YMR135C,Biological process,regulation
YMR135C,Biological process,ion
YPL005W,Biological process,metabolic process
YPL005W,Biological process,ion
YJL210W,Biological process,protein
YJL210W,Biological process,ion
YLR398C,Biological process,catabolic process
YIL101C,Biological process,negative
YIL101C,Biological process,regulation
YIL101C,Biological process,ion
YIL101C,Biological process,positive
YIL101C,Biological process,histone
YKL004W,Biological process,metabolic process
YOR208W,Biological process,ion
YOR208W,Biological process,protein
YOR208W,Biological process,regulation
YPL154C,Biological process,starvation
YPL154C,Biological process,ion
YPL154C,Biological process,protein
YPL154C,Biological process,catabolic process
YPL101W,Biological process,ion
YPL101W,Biological process,regulation
YPL101W,Biological process,negative
YPL101W,Biological process,protein
YHR176W,Biological process,protein
YKL095W,Biological process,ion
YLR451W,Biological process,negative
YLR451W,Biological process,regulation
YLR451W,Biological process,ion
YLR451W,Biological process,positive
YFR017C,Biological process,negative
YFR017C,Biological process,regulation
YFR017C,Biological process,catabolic process
YFR017C,Biological process,ion
YGR084C,Biological process,ion
YIL076W,Biological process,transport
YOL044W,Biological process,protein
YLR323C,Biological process,ion
YOR085W,Biological process,protein
YOR085W,Biological process,ion
YGR054W,Biological process,ion
YNL087W,Biological process,regulation
YNL087W,Biological process,ion
YNL087W,Biological process,membrane organization
YOR341W,Biological process,ion
YDR296W,Biological process,ion
YDR296W,Biological process,regulation
