"gene","terms","newTerms"
"YAL008W","membrane;mitochond;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YBR255W",";biological_process;molecular_function","biological_process;molecular_function"
"YGR164W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YGR131W","membrane;protein;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process"
"YNL003C","mitochond;membrane;transport;ion;transmembrane;transporter","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YBR135W",";regulation;ion;positive;kinase;histone","all;biological_process;biological regulation;regulation of biological process;cellular process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;metabolic process;regulation of metabolic process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;positive regulation of cellular process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis;macromolecule metabolic process"
"YBR160W","nucle;cytoplasm;endoplasm;negative;regulation;ion;repair;positive;catabolic process;transport;protein;RNA polymerase;kinase;histone","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;negative regulation of biological process;regulation of cellular process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;positive regulation of cellular process;catabolic process;organic substance catabolic process;cellular catabolic process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;RNA metabolic process;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis"
"YJL082W",";protein;molecular_function","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;molecular_function"
"YJL142C",";ion;molecular_function","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;molecular_function"
"YPL191C",";biological_process;molecular_function","biological_process;molecular_function"
"YGL215W",";positive;regulation;ion;kinase","all;biological_process;biological regulation;regulation of biological process;positive regulation of biological process;cellular process;regulation of cellular process;positive regulation of cellular process;metabolic process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YKL074C",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YJL077C","cellular_component;copper;ion;molecular_function","cellular_component;all;biological_process;molecular_function;cellular process;localization;biological regulation;response to stimulus;transition metal ion transport;transport;ion transport;cation transport;metal ion transport;establishment of localization;copper ion transport;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YIL124W","endoplasm;catabolic process;","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YPL039W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YNL170W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YGL141W",";protein;ion;catabolic process;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process"
"YJL179W",";protein;ion;positive;regulation;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process"
"YKL083W",";biological_process;molecular_function","biological_process;molecular_function"
"YOR009W",";biological_process;molecular_function","biological_process;molecular_function"
"YKL029C","mitochond;metabolic process;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;small molecule metabolic process;organic cyclic compound metabolic process"
"YPL166W",";;molecular_function","molecular_function"
"YKL052C",";positive;regulation;ion;","all;biological_process;biological regulation;regulation of biological process;positive regulation of biological process;cellular process;regulation of cellular process;positive regulation of cellular process;metabolic process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process"
"YHR025W","cellular_component;metabolic process;ion;kinase","cellular_component;all;biological_process;metabolic process;organic substance metabolic process;cellular process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor"
"YOL034W","nucle;repair;ion;damage;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;cellular response to stress;cellular response to DNA damage stimulus;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YBL008W","nucle;negative;regulation;ion;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;negative regulation of biological process;regulation of cellular process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YIL062C","membrane;mitochond;ion;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YCL023C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YOL116W","nucle;positive;regulation;catabolic process;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;catabolic process;organic substance catabolic process;cellular catabolic process;multicellular organismal process"
"YDR196C",";;kinase","all;molecular_function;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;kinase activity;phosphotransferase activity, alcohol group as acceptor;biological_process;regulation of biological process;biological regulation"
"YNL255C","cytoplasm;positive;regulation;ion;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;metabolic process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process"
"YNR032W",";metabolic process;protein;ion;","all;biological_process;metabolic process;organic substance metabolic process;cellular process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;regulation of cellular process;multicellular organismal process"
"YNR045W","membrane;mitochond;positive;regulation;ion;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;positive regulation of biological process;regulation of cellular process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process"
"YML105C","endoplasm;protein;ion;targeting;","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process;cellular metabolic process;transport;localization;establishment of localization;cellular localization;establishment of localization in cell;intracellular transport;intracellular protein transport;protein localization;protein transport;peptide transport;macromolecule localization;cellular protein localization;amide transport;establishment of protein localization;cellular macromolecule localization;organic substance transport;nitrogen compound transport"
"YNL288W",";regulation;ion;positive;molecular_function","all;biological_process;biological regulation;regulation of biological process;cellular process;regulation of cellular process;positive regulation of biological process;negative regulation of biological process;metabolic process;regulation of metabolic process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;positive regulation of cellular process;molecular_function"
"YIL059C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YIL004C","membrane;endoplasm;transport;ion;receptor","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part;organic substance transport;ion transport;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;response to stimulus;cellular response to stimulus;signaling"
"YNR018W","membrane;mitochond;;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process"
"YPL144W",";protein;molecular_function","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;molecular_function"
"YFR047C",";;",""
"YHR078W",";biological_process;molecular_function","biological_process;molecular_function"
"YJR115W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YLR355C","mitochond;nucle;;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process"
"YGR099W","nucle;protein;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;regulation of cellular process;multicellular organismal process"
"YLR300W","extracellular;metabolic process;ion;","all;biological_process;cellular process;cellular_component;biological regulation;extracellular region;cellular component organization or biogenesis;extracellular region part;regulation of biological process;cellular component organization;metabolic process;organic substance metabolic process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;regulation of cellular process;multicellular organismal process"
"YBL003C","nucle;repair;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process"
"YJR140C","nucle;ion;positive;regulation;histone;negative;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;chromatin organization;organelle organization;cellular component organization;chromosome organization;cellular component organization or biogenesis;macromolecule metabolic process;negative regulation of cellular process;nucleobase-containing compound metabolic process"
"YOR033C","nucle;repair;ion;exonuclease activity","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;nuclease activity;hydrolase activity;hydrolase activity, acting on ester bonds"
"YOR062C",";biological_process;molecular_function","biological_process;molecular_function"
"YBR043C","membrane;transport;transmembrane;transporter","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YHR112C","nucle;cytoplasm;metabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;small molecule metabolic process;organic cyclic compound metabolic process"
"YLR011W","nucle;cytosol;ion;dehydrogenase;transcription","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the CH-CH group of donors;oxidoreductase activity, acting on the CH-NH group of donors;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;cellular_component;protein-containing complex;steroid dehydrogenase activity;catalytic complex;macromolecule metabolic process;nucleobase-containing compound metabolic process"
"YHR007C","endoplasm;;","all;biological_process;cellular process;cellular_component;biological regulation;cell;cell part;intracellular;cytoplasm;intracellular part"
"YKR103W",";;",""
"YKR084C",";positive;regulation;ion;catabolic process;","all;biological_process;biological regulation;regulation of biological process;positive regulation of biological process;cellular process;regulation of cellular process;positive regulation of cellular process;metabolic process;regulation of metabolic process;negative regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process"
"YER121W","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YCR046C","mitochond;ribosomal;ion;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;ribonucleoprotein complex biogenesis;ribosome biogenesis;cellular component biogenesis;regulation of biological process;biological regulation;cellular_component;regulation of cellular process;multicellular organismal process"
"YNL144C",";biological_process;molecular_function","biological_process;molecular_function"
"YKL204W","cytoplasm;ion;catabolic process;negative;regulation;","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process;negative regulation of biological process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process"
"YOR266W","membrane;mitochond;protein;ion;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;macromolecule metabolic process;primary metabolic process;regulation of cellular process;multicellular organismal process"
